Index,Type,Case Number,Intelligence Number,Transaction_Fraud Payment,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Transaction_Located,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Transaction_Transaction Date (value),Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Transaction_Originating Amount,Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Transaction_Originating Currency,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Cancel Amount Requested,Ground_Truth_Cancel Amount Requested,Transaction_Originator Name,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Transaction_Originator Account Number,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Transaction_Originator Bank Raw,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Transaction_Beneficiary Name,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Transaction_Beneficiary Account Number,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Transaction_Beneficiary Bank Raw,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Source Remarks,Remarks
1,HSBC Referral,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,2024-10-06,2024-10-06,2024-10-06,2024-10-06,"40,000.00","40,000.00","40,000.00","40,000.00",HKD,HKD,HKD,HKD,null,null,YEUNG KAI,YEUNG KAI,YEUNG KAI,YEUNG KAI,666-66666-601,222-222222-101,666-66666-601,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,The Hongkong and Shanghai Banking Corporation Limited  ,HSBC,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,Nil,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,Hang Seng Bank Ltd.,HASE,Hang Seng Bank Ltd.,CUTF,UNRELATED ELECTRONIC     TRANSFER CREDIT,null,null,null,,
2,UAR,2,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,2024-08-29,2024-08-29,2024-08-29,2024-08-29,"20,000.00","20,000.00","20,000.00","20,000.00",HKD,HKD,HKD,HKD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MR       CHAN TAI MAN,CHAN TAI MAN,CHAN,MR CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,null,null,null,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,ATM,cash deposits via ATM,cash deposit via ATM,,
3,UAR,2,1,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2024-08-30,2024-08-30,2024-08-30,2024-08-30,"20,000.00","20,000.00","20,000.00","20,000.00",HKD,HKD,HKD,HKD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MR   CHUNG SIU,CHUNG Siu,CHUNG,MR CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,null,null,null,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,ATM,cash deposits via ATM,cash deposit via ATM,,
4,Police Letter,2,2,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2024-08-28,2024-08-28,2024-08-28,2024-08-28,"50,000.00","50,000.00","50,000.00","50,000.00",HKD,HKD,HKD,HKD,null,null,null,null,null,null,null,CASH,null,null,null,NA,null,null,MR    CHUNG SIU,CHUNG SIU,CHUNG,MR CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,null,null,null,HASE,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,null,ATM,cash,had deposited a total of,
